Designator,Mid X,Mid Y,Rotation,Layer
C1,150.53,-101.49,90.0,top
C10,150.53,-105.39,270.0,top
C11,152.9,-69.99,0.0,top
C12,138.5,-87.51,180.0,top
C13,138.5,-89.02,180.0,top
C14,142.475,-85.45,0.0,top
C15,141.2,-74.715,90.0,top
C16,152.0,-118.4,0.0,top
C17,133.2,-74.69,90.0,top
C18,123.7375,-83.09,180.0,top
C19,131.7,-74.69,90.0,top
C2,152.03,-101.49,90.0,top
C20,142.475,-83.95,0.0,top
C21,141.495,-87.49,0.0,top
C22,132.5,-114.2,180.0,top
C23,143.1,-90.5,0.0,top
C24,141.475,-91.99,180.0,top
C25,166.3,-107.9,90.0,top
C26,164.8,-106.425,90.0,top
C27,189.5,-61.0,0.0,top
C29,173.3,-99.1,0.0,top
C3,125.1,-74.25,90.0,top
C30,173.3,-100.6,0.0,top
C31,226.4,-113.0,180.0,top
C32,223.3,-119.2,270.0,top
C33,212.6,-119.2,270.0,top
C34,215.1,-106.6,90.0,top
C35,187.55,-72.96,0.0,top
C36,163.33,-75.745,90.0,top
C37,161.03,-75.045,0.0,top
C38,120.5625,-87.245,180.0,top
C39,123.5625,-85.745,0.0,top
C4,129.3,-74.25,270.0,top
C40,162.63,-73.445,180.0,top
C41,123.5725,-97.58,0.0,top
C42,162.63,-71.97,180.0,top
C43,120.5725,-99.08,180.0,top
C45,175.43,-73.47,180.0,top
C46,173.13,-68.97,180.0,top
C5,149.85,-69.97,0.0,top
C50,168.5,-81.74,270.0,top
C51,181.85,-70.96,180.0,top
C52,181.85,-72.96,180.0,top
C53,189.5,-65.0,0.0,top
C54,189.5,-63.0,0.0,top
C55,181.85,-68.96,180.0,top
C56,189.5,-67.0,0.0,top
C57,187.55,-68.96,0.0,top
C58,187.55,-70.96,0.0,top
C59,147.9,-114.89,90.0,top
C6,126.9375,-82.94,0.0,top
C60,150.2,-114.89,90.0,top
C61,127.3,-88.0,270.0,top
C62,126.6,-85.78,180.0,top
C7,126.9375,-77.04,180.0,top
C8,152.03,-105.39,270.0,top
C9,152.9,-71.5075,0.0,top
CN1,142.83,-103.39,0.0,top
CSEN1,174.525,-104.275,90.0,top
D1,159.7,-93.4,90.0,top
D10,117.7025,-98.89,270.0,top
D11,133.7,-107.5,180.0,top
D12,160.1,-85.29,270.0,top
D13,116.0,-110.09,0.0,top
D14,136.3,-107.5,0.0,top
D15,149.7,-68.57,180.0,top
D16,149.1,-92.99,270.0,top
D17,133.68,-96.6,180.0,top
D19,149.0,-75.7,90.0,top
D20,131.2,-96.6,180.0,top
D21,149.0,-78.3,90.0,top
D22,149.0,-80.9,90.0,top
D23,149.1,-90.49,270.0,top
D25,149.0,-83.4,90.0,top
D26,149.1,-87.91,270.0,top
D29,138.7,-63.9,90.0,top
D3,128.62,-107.5,180.0,top
D30,138.7,-61.4,270.0,top
D33,127.4,-61.28,90.0,top
D34,132.7,-69.49,180.0,top
D37,134.8,-69.39,180.0,top
D39,136.9,-69.39,180.0,top
D4,145.45,-68.07,0.0,top
D40,185.62,-92.0775,0.0,top
D41,174.8,-70.8,180.0,top
D5,159.7,-91.58,90.0,top
D7,131.2,-107.5,180.0,top
D8,146.8,-71.49,180.0,top
D9,160.1,-87.8,270.0,top
FB1,149.85,-71.47,0.0,top
FB2,141.495,-88.99,0.0,top
H10,154.5,-78.79,270.0,top
H4,131.7,-102.1,0.0,top
H5,154.6,-89.89,90.0,top
H7,133.095,-63.8925,180.0,top
J1,114.6725,-98.33,0.0,top
L1,192.12,-114.19,180.0,top
L2,208.42,-84.19,270.0,top
LED1,129.2,-90.6,90.0,top
LED2,132.1,-87.5,90.0,top
LED3,157.175,-108.73,180.0,top
P2,224.9,-106.5,180.0,top
P3,182.2,-63.6,270.0,top
Q1,174.8,-108.275,180.0,top
Q2,190.7,-93.23,180.0,top
Q3,164.84,-64.3,270.0,top
Q4,185.02,-77.63,90.0,top
Q5,190.82,-76.89,180.0,top
Q6,180.44,-93.81,180.0,top
R1,129.4375,-80.39,90.0,top
R10,153.4,-96.2,180.0,top
R11,176.1,-94.2,270.0,top
R12,175.3,-111.275,180.0,top
R13,144.7,-69.99,0.0,top
R14,152.35,-67.77,180.0,top
R15,140.65,-67.87,0.0,top
R16,167.44,-64.185,270.0,top
R17,173.44,-78.37,0.0,top
R18,170.44,-78.37,0.0,top
R19,141.475,-98.9,0.0,top
R2,139.9,-90.5,180.0,top
R20,164.8,-109.425,90.0,top
R21,167.095,-105.67,0.0,top
R22,166.835,-99.105,180.0,top
R23,170.095,-105.69,0.0,top
R24,169.825,-99.1,0.0,top
R25,173.0,-105.975,270.0,top
R26,173.0,-110.575,90.0,top
R27,176.825,-103.575,0.0,top
R28,191.4,-86.6,90.0,top
R29,161.03,-68.97,180.0,top
R3,122.625,-68.0675,180.0,top
R30,165.73,-78.36,0.0,top
R31,165.705,-80.2,180.0,top
R32,160.74,-64.21,90.0,top
R33,164.03,-68.98,180.0,top
R34,164.03,-67.47,0.0,top
R35,162.24,-64.21,90.0,top
R36,161.03,-76.545,180.0,top
R37,194.2,-70.2,90.0,top
R38,123.5625,-87.245,180.0,top
R39,123.5725,-99.08,180.0,top
R4,130.7,-89.7,270.0,top
R40,117.9725,-101.705,270.0,top
R41,117.9725,-104.705,270.0,top
R42,117.9725,-107.705,270.0,top
R43,118.6725,-109.98,0.0,top
R5,133.5,-87.2,90.0,top
R6,139.2,-92.765,270.0,top
R7,141.5,-93.49,0.0,top
R8,157.2,-107.1,0.0,top
R9,148.0,-96.2,0.0,top
SW1,119.8,-78.48,270.0,top
U1,157.3,-102.3,0.0,top
U10,122.0725,-92.48,270.0,top
U11,169.03,-73.37,180.0,top
U14,174.2,-83.54,270.0,top
U2,121.825,-64.3625,180.0,top
U3,142.7,-119.49,180.0,top
U4,134.4,-121.5,180.0,top
U5,136.75,-93.19,90.0,top
U6,137.2,-80.0,270.0,top
U7,142.864995,-111.89,270.0,top
U8,122.0725,-104.28,270.0,top
U9,168.375,-102.335,270.0,top
USB1,146.6,-62.99,180.0,top
X1,127.2,-74.2,90.0,top
Y1,126.9375,-79.94,270.0,top
